abbreviation,location,location_name
AL,1,Alabama
AZ,2,Arizona
AR,3,Arkansas
CA,4,California
CO,5,Colorado
CT,6,Connecticut
DE,7,Delaware
GA,8,Georgia
ID,9,Idaho
IL,10,Illinois
IN,11,Indiana
IA,12,Iowa
KS,13,Kansas
KY,14,Kentucky
LA,15,Louisiana
ME,16,Maine
MD,17,Maryland
MA,18,Massachusetts
MI,19,Michigan
MN,20,Minnesota
MS,21,Mississippi
MO,22,Missouri
MT,23,Montana
NE,24,Nebraska
NV,25,Nevada
NH,26,New Hampshire
NJ,27,New Jersey
NM,28,New Mexico
NY,29,New York
NC,30,North Carolina
ND,31,North Dakota
OH,32,Ohio
OK,33,Oklahoma
OR,34,Oregon
PA,35,Pennsylvania
RI,36,Rhode Island
SC,37,South Carolina
SD,38,South Dakota
TN,39,Tennessee
TX,40,Texas
UT,41,Utah
VT,42,Vermont
VA,43,Virginia
WA,44,Washington
WV,45,West Virginia
WI,46,Wisconsin
WY,47,Wyoming
FL,48,Florida
PR,49,Puerto Rico
VI,50,Virgin Islands
AK,51,Alaska
DC,52,District of Columbia
HI,53,Hawaii
